ID,common_name
MBMG2C,Ring-necked Dove
K8LJSB,Ring-necked Dove
OGD9L6,Ring-necked Dove
581PCQ,Ring-necked Dove
P91M1F,Ring-necked Dove
UM4TL3,Ring-necked Dove
89JB6J,Ring-necked Dove
6GGIWM,Ring-necked Dove
O1YJGJ,Ring-necked Dove
RV95LF,Ring-necked Dove
502CO7,Ring-necked Dove
LIVB2J,Ring-necked Dove
6W3F6I,Ring-necked Dove
K8ZJFC,Ring-necked Dove
2SNWIY,Ring-necked Dove
4BWGHT,Ring-necked Dove
R8S6U2,Ring-necked Dove
2VV1JR,Ring-necked Dove
84H98H,Ring-necked Dove
6YHDNO,Ring-necked Dove
OQGUJN,Ring-necked Dove
ROZKN6,Ring-necked Dove
8CG8IQ,Ring-necked Dove
A4C2QS,Ring-necked Dove
NMQW8C,Ring-necked Dove
06A4LK,Ring-necked Dove
YVSHZ4,Ring-necked Dove
E7VA3T,Ring-necked Dove
TBTEY9,Ring-necked Dove
2FUMON,Ring-necked Dove
4KFK9U,Ring-necked Dove
TFKD3L,Ring-necked Dove
A8SK52,Ring-necked Dove
72IKIW,Ring-necked Dove
3T0E07,Ring-necked Dove
OTWHFG,Ring-necked Dove
LT28WK,Ring-necked Dove
A8KUNQ,Ring-necked Dove
UGAHZQ,Ring-necked Dove
19S39R,Ring-necked Dove
7UH70I,Ring-necked Dove
4SU6XW,Ring-necked Dove
A46QZ4,Ring-necked Dove
BCHNLH,Ring-necked Dove
TIFSSK,Ring-necked Dove
I9ZHHC,Ring-necked Dove
VY1EPX,Black Cuckoo
F52C94,Black Cuckoo
DVEJ7C,Black Cuckoo
7ZQ4ZB,Black Cuckoo
Y2WFMH,Black Cuckoo
Y78YUH,Black Cuckoo
J6ZZ6E,Black Cuckoo
YHI28Y,Black Cuckoo
ZFHUXT,Black Cuckoo
OXP09C,Black Cuckoo
3SMP0D,Black Cuckoo
YS949R,Black Cuckoo
JEKIHU,Black Cuckoo
NH88IH,Black Cuckoo
MR1ABO,Black Cuckoo
9Y8V62,Black Cuckoo
VNZIQU,Black Cuckoo
YP5IB9,Black Cuckoo
WN1BJ4,Black Cuckoo
FN1UPL,Black Cuckoo
QU6R9V,Black Cuckoo
RP6NK9,Black Cuckoo
CWO9H9,Black Cuckoo
Y9Z1DF,Black Cuckoo
VJJ7XZ,Black Cuckoo
3KV8AZ,Black Cuckoo
X2OAA8,Black Cuckoo
DTAI20,Black Cuckoo
CU748X,Black Cuckoo
ATZ9YB,Black Cuckoo
MSARQ6,Black Cuckoo
ORQ8EX,Black Cuckoo
Z4FPLO,Black Cuckoo
10R8VS,Black Cuckoo
R9L536,Red-chested Cuckoo
30C1TP,Red-chested Cuckoo
PT13IX,Red-chested Cuckoo
6NDXCC,Red-chested Cuckoo
1DZ67Z,Red-chested Cuckoo
G71P6E,Red-chested Cuckoo
2SASDP,Red-chested Cuckoo
27DV0Y,Red-chested Cuckoo
54PLN6,Red-chested Cuckoo
P7DBB3,Red-chested Cuckoo
98TIN2,Red-chested Cuckoo
VLB21B,Red-chested Cuckoo
2K9TNG,Red-chested Cuckoo
WCTP6P,Red-chested Cuckoo
RMCVOH,Red-chested Cuckoo
CX7YT8,Red-chested Cuckoo
LQV59D,Red-chested Cuckoo
1JVURN,Red-chested Cuckoo
ZLFC8O,Red-chested Cuckoo
IO3L6A,Red-chested Cuckoo
8EG6B7,Red-chested Cuckoo
10JBLE,Red-chested Cuckoo
NZ174Z,Red-chested Cuckoo
0IC96G,Red-chested Cuckoo
M8QWKJ,Red-chested Cuckoo
ZZI6LM,Red-chested Cuckoo
BSXRFQ,Red-chested Cuckoo
010FYT,Red-chested Cuckoo
ZFABJS,Red-chested Cuckoo
SW4TEZ,Red-chested Cuckoo
82IMPE,Red-chested Cuckoo
9JWTCV,Fiery-necked Nightjar
6JNEIG,Fiery-necked Nightjar
VREBHU,Fiery-necked Nightjar
GQBWN5,Fiery-necked Nightjar
OMI2YL,Fiery-necked Nightjar
4ZAD8T,Fiery-necked Nightjar
6DRSJM,Fiery-necked Nightjar
C0P6SE,Fiery-necked Nightjar
EZISIN,Fiery-necked Nightjar
AC26JX,Fiery-necked Nightjar
H759KK,Fiery-necked Nightjar
MBEB56,Fiery-necked Nightjar
Z0PEIX,Fiery-necked Nightjar
I684K1,Fiery-necked Nightjar
3XTNRY,Fiery-necked Nightjar
YIXXKH,Fiery-necked Nightjar
5YSRBP,Fiery-necked Nightjar
R5DGFW,Fiery-necked Nightjar
JWBORW,Fiery-necked Nightjar
1BKDH1,Fiery-necked Nightjar
4XPSOQ,Fiery-necked Nightjar
A3S6NC,Fiery-necked Nightjar
CEMHF7,Fiery-necked Nightjar
LGANLI,Fiery-necked Nightjar
U7FDJ8,Fiery-necked Nightjar
QUDH6E,Fiery-necked Nightjar
9OTR52,Fiery-necked Nightjar
2LO3UF,Fiery-necked Nightjar
Q58ADU,Fiery-necked Nightjar
EHF2PN,Fiery-necked Nightjar
5K2F9L,Fiery-necked Nightjar
0WSTIM,Fiery-necked Nightjar
AEMO76,Fiery-necked Nightjar
MTFLP3,Fiery-necked Nightjar
APO9ZU,Green Wood Hoopoe
2FZ21K,Green Wood Hoopoe
W52D30,Green Wood Hoopoe
T4TU74,Green Wood Hoopoe
506JLK,Green Wood Hoopoe
MFJY1J,Green Wood Hoopoe
K3ZQIA,Green Wood Hoopoe
UD9JUR,Green Wood Hoopoe
F33O16,Green Wood Hoopoe
LD22ZD,Green Wood Hoopoe
AC5NT9,Green Wood Hoopoe
D2IX20,Green Wood Hoopoe
ZO8DQ1,Green Wood Hoopoe
2SWP96,Green Wood Hoopoe
ZSFVZK,Green Wood Hoopoe
